ID,Title,Description,Priority,Estimate,Status,Milestone,Epic,Dependencies,Assignee
LI-1.1,Setup LinkedIn App & Credentials,"Setup LinkedIn Developer App e configurare credenziali OAuth. Acceptance Criteria: LinkedIn Developer App creata, Client ID e Client Secret ottenuti, Redirect URI configurato, Scopes configurati (profile, email, w_member_social), Credenziali salvate in environment variables, Documentazione setup completata.",P0 - Critical,2,Todo,M1: Foundation,EPIC 1: OAuth & Authentication,,Backend Lead
LI-1.2,Implement OAuth Authorization Flow,"Implementare OAuth 2.0 authorization flow per ottenere authorization code. Acceptance Criteria: Endpoint /api/auth/linkedin/authorize creato, Genera authorization URL con state parameter, Redirect user a LinkedIn authorization page, State parameter validato per CSRF protection, Error handling per authorization failures, Unit tests scritti (coverage >80%).",P0 - Critical,5,Todo,M1: Foundation,EPIC 1: OAuth & Authentication,LI-1.1,Backend Developer
LI-1.3,Implement Token Exchange & Storage,"Implementare token exchange e storage sicuro dei token. Acceptance Criteria: Endpoint /api/auth/linkedin/callback creato, Exchange authorization code per access token, Decrypt e store access_token e refresh_token, Store token expiration timestamps, Get LinkedIn user profile (person URN), Save to linkedin_credentials table, Encryption at rest per tokens, Unit tests + integration tests.",P0 - Critical,5,Todo,M1: Foundation,EPIC 1: OAuth & Authentication,"LI-1.2, LI-1.5",Backend Developer
LI-1.4,Implement Token Refresh Logic,"Implementare automatic token refresh prima della scadenza. Acceptance Criteria: Metodo refresh_access_token() implementato, Refresh automatico 7 giorni prima della scadenza, Update linkedin_credentials con nuovi token, Handle refresh token expiration (re-auth required), Logging per refresh successes/failures, Unit tests per refresh logic.",P0 - Critical,3,Todo,M1: Foundation,EPIC 1: OAuth & Authentication,LI-1.3,Backend Developer
LI-1.5,Create Database Schema for Credentials,"Creare database schema per LinkedIn credentials e publications. Acceptance Criteria: Migration creata per linkedin_credentials table, Migration creata per linkedin_publications table, Indexes creati per performance, Constraints e validations aggiunti, Encryption configurata per sensitive fields, Rollback script testato, Documentation aggiornata.",P0 - Critical,3,Todo,M1: Foundation,EPIC 1: OAuth & Authentication,,Backend Developer
LI-2.1,Create LinkedIn API Client,"Creare HTTP client per LinkedIn REST API con authentication. Acceptance Criteria: LinkedInAPIClient class creata, Automatic token injection in headers, Handle 401 (token expired) → trigger refresh, Handle 429 (rate limit) → exponential backoff, Request/response logging, Timeout configuration, Unit tests con mocked responses.",P0 - Critical,5,Todo,M2: Core Publishing,EPIC 2: Core Publishing,LI-1.3,Backend Developer
LI-2.2,Implement Text Post Publishing,"Implementare pubblicazione di text-only posts su LinkedIn. Acceptance Criteria: publish_text_post() method implementato, POST request a /rest/posts funzionante, Get author URN from /rest/me, Handle visibility settings (PUBLIC, CONNECTIONS), Return post URN e URL, Error handling per API failures, Integration tests con LinkedIn sandbox.",P0 - Critical,5,Todo,M2: Core Publishing,EPIC 2: Core Publishing,LI-2.1,Backend Developer
LI-2.3,Implement Image Upload,"Implementare upload di immagini su LinkedIn. Acceptance Criteria: upload_image() method implementato, Initialize upload via /rest/images?action=initializeUpload, Upload image binary to upload URL, Return image URN, Support JPEG/PNG formats, Validate image size (<5MB), Error handling per upload failures, Integration tests.",P0 - Critical,5,Todo,M2: Core Publishing,EPIC 2: Core Publishing,LI-2.1,Backend Developer
LI-2.4,Implement Image Post Publishing,"Implementare pubblicazione di post con immagini. Acceptance Criteria: publish_image_post() method implementato, Upload image first then create post, Include image URN in post payload, Support image title/description, Return post URN e URL, Integration tests.",P0 - Critical,3,Todo,M2: Core Publishing,EPIC 2: Core Publishing,"LI-2.2, LI-2.3",Backend Developer
LI-2.5,Create Publication Tracking System,"Implementare tracking di tutte le pubblicazioni LinkedIn. Acceptance Criteria: Save publication to linkedin_publications table, Track status (pending → publishing → published/failed), Store post URN/URL/content, Track retry attempts, Query methods per tenant/user, Unit tests per repository.",P0 - Critical,3,Todo,M2: Core Publishing,EPIC 2: Core Publishing,"LI-1.5, LI-2.2",Backend Developer
LI-3.1,Implement Rate Limiting,"Implementare rate limiting per rispettare LinkedIn API limits. Acceptance Criteria: LinkedInRateLimiter class implementata, Token bucket algorithm, Conservative limit (100 req/10 sec), Per-tenant rate limiting, Monitor X-RateLimit-* headers, Adjust limits dynamically, Unit tests.",P0 - Critical,5,Todo,M3: Production Ready,EPIC 3: Error Handling & Resilience,LI-2.1,Backend Developer
LI-3.2,Implement Retry Logic with Exponential Backoff,"Implementare retry logic per transient failures. Acceptance Criteria: Exponential backoff implementato, Max 3 retries per publication, Retry on (429, 500, 502, 503, 504), NO retry on (400, 401, 403), Track retry_count in database, Unit tests.",P0 - Critical,5,Todo,M3: Production Ready,EPIC 3: Error Handling & Resilience,LI-2.5,Backend Developer
LI-3.3,Implement Error Handling & Logging,"Comprehensive error handling e structured logging. Acceptance Criteria: Custom exceptions per error types, Structured logging (JSON format), Log all API requests/responses, Sensitive data masking (tokens), Error messages user-friendly, Unit tests.",P1 - High,3,Todo,M3: Production Ready,EPIC 3: Error Handling & Resilience,LI-2.1,Backend Developer
LI-3.4,Create Background Job for Token Refresh,"Background job per refresh automatico dei token. Acceptance Criteria: Celery/Temporal task creato, Run daily check tokens expiring in 7 days, Refresh tokens proattivamente, Handle refresh failures (notify user), Logging per ogni refresh, Integration tests.",P0 - Critical,5,Todo,M3: Production Ready,EPIC 3: Error Handling & Resilience,LI-1.4,Backend Developer
LI-3.5,Setup Monitoring & Alerts,"Setup monitoring e alerting per LinkedIn integration. Acceptance Criteria: Metrics (publish success rate, latency, errors), Alerts (high error rate, token refresh failures), Dashboard in Grafana/Datadog, Log aggregation in ELK/Splunk, On-call runbook creato.",P1 - High,2,Todo,M3: Production Ready,EPIC 3: Error Handling & Resilience,LI-3.3,DevOps
LI-4.1,Implement Scheduled Publishing,"Permettere scheduling di post per pubblicazione futura. Acceptance Criteria: scheduled_for field utilizzato, Background job checks pending scheduled posts, Publish at scheduled time, Timezone handling, UI per selezionare data/ora, Integration tests.",P1 - High,5,Todo,M4: Advanced Features,EPIC 4: Advanced Publishing,"LI-2.5, LI-3.4",Backend Developer
LI-4.2,Implement Video Upload & Publishing,"Support per upload e pubblicazione video. Acceptance Criteria: upload_video() method implementato, Support MP4/MOV formats, Validate video size (<200MB), publish_video_post() method, Integration tests.",P2 - Medium,5,Todo,M4: Advanced Features,EPIC 4: Advanced Publishing,LI-2.3,Backend Developer
LI-4.3,Implement Multi-Image Posts,"Support per post con multiple immagini (carousel). Acceptance Criteria: Upload multiple images, publish_multi_image_post() method, Max 9 images per post, Integration tests.",P2 - Medium,3,Todo,M4: Advanced Features,EPIC 4: Advanced Publishing,LI-2.4,Backend Developer
LI-4.4,Implement Article/Link Posts,"Support per post con link esterni (article preview). Acceptance Criteria: publish_article_post() method, Include article URL/title/description, LinkedIn generates preview automatically, Integration tests.",P2 - Medium,2,Todo,M4: Advanced Features,EPIC 4: Advanced Publishing,LI-2.2,Backend Developer
LI-5.1,Implement Organization OAuth Flow,"OAuth flow per ottenere w_organization_social scope. Acceptance Criteria: Request w_organization_social scope, Get organization URNs user can manage, Store organization credentials separately, Handle admin role requirement, Integration tests.",P2 - Medium,5,Todo,M5: Organization Support,EPIC 5: Organization Publishing,LI-1.2,Backend Developer
